,Encoding
1294,"Systems Safety Engineering and Management  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6421 60000 Master A project current topic required"
1295,"Cases in Industrial Engineering  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 480 400 Bachelor Real-world situations, problem posed client"
1296,"DISCRETE OPTIMIZATION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6361 60000 Master A project required"
1297,"DISCRETE OPTIMIZATION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6361 60000 Master A project required"
1298,"APPLIED OPTIMIZATION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6121 60000 Master A design project required"
1299,FOUNDATIONS OF CRYPTOGRAPHY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6110 60000 Master A project required
1300,CRYPTO PROTOCOL & NETWK SECT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6120 60000 Master A project required
1301,OPERATING SYSTEMS SECURITY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6130 60000 Master A project required
1302,MALW. DEF. & APPL. SECURITY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6140 60000 Master A project required
1303,SECURITY EVAL. METHODOLOGIES  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6150 60000 Master A project required
1304,SECURITY EVAL. METHODOLOGIES  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6150 60000 Master A project required
1305,DB SECURITY AND PRIVACY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6160 60000 Master A project required
1306,SEC& PRIV IMPLICATIONS OF DM  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6180 60000 Master A project required
1307,WIRELESS NETWORK SECURITY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6190 60000 Master A project required
1308,TOTAL QUALITY METH. IN ENG.  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6210 60000 Master A project required
1309,ADV.STAT. APPR. TO QUALITY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6220 60000 Master A project required
1310,TOT. QUALITY PROJ.MANAGEMENT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6230 60000 Master A project required
1311,EXECUTIVE COMMUNICATION  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6240 60000 Master A project required
1312,QUALITY METH. FOR SOFTWARE  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6250 60000 Master A project required
1313,SOFTWARE QUALITY ASSURANCE  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6260 60000 Master A project required
1314,QUALITY BASED SYSTEM ENG.  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6270 60000 Master A project required
1315,QUALITY ASS. FOR SYSTEM ENG.  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6280 60000 Master A project required
1316,QUAL. IN SUPPLY CHAIN DESIGN  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6290 60000 Master A project required
1317,QUAL. ASS. SUPPLY CHAIN MGT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6300 60000 Master A project required
1318,SYST. ENG. MAINTENANCE MGMT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6310 60000 Master A project required
1319,SUSTAINABLE INFRASTRUCTURE  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6311 60000 Master Projects
1320,INFORMATION SYSTEMS ENGR RISK ANALYSIS FOR INSE  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6320 60000 Master A project required
1321,PRIN. OF SYSTEMS ENGINEERING  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6400 60000 Master A project required
1322,PRODUCT DESIGN & METHODOLOGY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6411 60000 Master A project required
1323,SYSTEMS INTEGRATION AND TEST  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6421 60000 Master A project required
1324,AD HOC WIRELESS NETWORKS  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6431 60000 Master A project required
1325,APPL. GAME THEOR/MECHAN. DES  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6441 60000 Master A project required
1326,CYBERCRIME INVESTIGATIONS  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6610 60000 Master A project required
1327,RECENT DEV. IN INFO.SYS SEC.  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6630 60000 Master A project required
1328,TRUSTED COMPUTING  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6650 60000 Master A project required
1329,VAL ADDED SERV ENGR/NEXT GEN  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 7110 70000 Master A project required
1330,ADVANCED NETWORK MANAGEMENT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 7120 70000 Master A project required
1331,"MASTER/APPL SCI RSRCH/THESIS  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 8901 80000 Master Research, thesis"
1332,Smart Grids and Control System Security  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6640 60000 Master A project required
1333,SYSTEM PHYSICAL SECURITY  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6680 60000 Master A project required
1334,Embedded Systems Security  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6670 60000 Master A project required
1335,NETWORK SECURITY ARCHITECTURE AND MANAGEMENT  GCS Concordia Institute for Information Systems Engineering (CIISE) INSE 6170 60000 Master A project required
1336,Research Methods in Irish Studies  FAS School of Irish Studies IRST 300 300 BA Participation community events followed anthropological analysis reflection; final project includes self-driven bibliographic research primary sources material objects reflecting process final reflection paper problem challenge approaching topic least three disciplinary perspectives. Final presentation could include performance creative dimension.
1337,CLASSICS OF IRISH THEATRE  FAS School of Irish Studies IRST 344 300 BA Performance-based activities
1338,SEL TOP/CDN IRISH STUDIES  FAS School of Irish Studies IRST 299 200 BA Applied language projects
1339,Field Studies in Ireland  FAS School of Irish Studies IRST 390 300 BA Self-directed field study
1340,IRISH PERFORMANCE STUDIES  FAS School of Irish Studies IRST 346 300 BA Performance-based activities
1341,CONTEMPORARY IRISH THEATRE  FAS School of Irish Studies IRST 347 300 BA Performance-based activities
1342,"Introductory Italian: Intensive Course  FAS Classics, Modern Languages and Linguistics ITAL 200 200 Bachelor lab work"
1343,"Introductory Italian I  FAS Classics, Modern Languages and Linguistics ITAL 201 200 Bachelor lab work"
1344,"Introductory Italian II  FAS Classics, Modern Languages and Linguistics ITAL 202 200 Bachelor lab work"
1345,"Intermediate Italian: Intensive Course  FAS Classics, Modern Languages and Linguistics ITAL 240 200 Bachelor lab work"
1346,Supervised Internship I  FFA Music JAZZ 481 400 Bachelor Supervised internship industry/community partner
1347,Supervised Internship II  FFA Music JAZZ 482 400 Bachelor Supervised internship industry/community partner
1348,"FEATURE WRITING  FAS Journalism JOUR 303 300 Bachelor Workshop course, practical out-of-class assignments"
1349,"Editing and Page Design  FAS Journalism JOUR 309 300 Bachelor Workshop course, practical out-of-class assignments"
1350,"Visual Journalism  FAS Journalism JOUR 321 300 Bachelor Workshop course, practical out-of-class assignments"
1351,RADIO NEWSROOM  FAS Journalism JOUR 330 300 Bachelor Course replicates working conditions journalistic experience digital newsroom
1352,"Specialist Reporting  FAS Journalism JOUR 402 400 Bachelor Workshop course, practical out-of-class assignments"
1353,"MAGAZINE WRITING  FAS Journalism JOUR 404 400 Bachelor Workshop course, practical out-of-class assignments"
1354,"Advanced Video Journalism  FAS Journalism JOUR 421 400 Bachelor Workshop course, practical out-of-class assignments"
1355,"DOCUMENTARY VIDEO & RADIO  FAS Journalism JOUR 432 400 Bachelor Workshop course, practical out-of-class assignments"
1356,Journalism Practicum  FAS Journalism JOUR 450 400 Bachelor Practicum recognized media outlet
1357,"INTRODUCTION TO REPORTING  FAS Journalism JOUR 502 500 Certificate Lecture/laboratory course, students receive assignments class field"
1358,Introduction to Visual Journalism  FAS Journalism JOUR 503 500 Master / Certificate Workshop course
1359,INTRODUCTION TO VISUAL JOURNALISM  FAS Journalism JOUR 503 500 Master / Certificate Workshop course
1360,"INTERMEDIATE REPORTING  FAS Journalism JOUR 504 500 Certificate Workshop course, practical out-of-class assignments"
1361,"ADVANCED REPORTING  FAS Journalism JOUR 505 500 Certificate Workshop course, practical out-of-class assignments"
1362,"ADVANCED REPORTING  FAS Journalism JOUR 505 500 Certificate Workshop course, practical out-of-class assignments"
1363,"Basics of Digital Imaging  FAS Journalism JOUR 507 500 Certificate Workshop course, practical out-of-class assignments"
1364,"BASICS OF DIGITAL IMAGING  FAS Journalism JOUR 507 500 Certificate Workshop course, practical out-of-class assignments"
1365,THE DIGITAL MAGAZINE  FAS Journalism JOUR 528 500 Certificate Course replicates working conditions journalistic experience digital newsroom
1366,ADVANCED RADIO NEWS  FAS Journalism JOUR 530 500 Certificate Course replicates working conditions journalistic experience digital newsroom
1367,"DOCUMENTARY VIDEO AND RADIO  FAS Journalism JOUR 532 500 Certificate Workshop course, practical out-of-class assignments"
1368,"MEDIATING DIVERSITY  FAS Journalism JOUR 630 600 Master Workshop course, practical out-of-class assignments"
1369,"Elements of Lighting for VJ  FAS Journalism JOUR 527 500 Certificate Workshop course, practical out-of-class assignments"
1370,"Visual Story-Telling  FAS Journalism JOUR 521 500 Certificate Workshop course, practical out-of-class assignments"
1371,"News and Feature Photography  FAS Journalism JOUR 523 500 Certificate Workshop course, practical out-of-class assignments"
1372,"Visual Journalism Photo Editing  FAS Journalism JOUR 531 500 Certificate Workshop course, practical out-of-class assignments"
1373,"Documentary and Photographic Series  FAS Journalism JOUR 535 500 Certificate Workshop course, practical out-of-class assignments"
1374,"Visual Journalism Portfolio  FAS Journalism JOUR 537 500 Certificate Workshop course, practical out-of-class assignments"
1375,"INTRODUCTION TO REPORTING JOUR 206 = JOUR 201 FAS Journalism JOUR 206 200 Bachelor Workshop course, practical out-of-class assignments"
1376,"INTRODUCTION TO REPORTING  FAS Journalism JOUR 206 200 Bachelor Workshop course, practical out-of-class assignments"
1377,"INTRODUCTION TO REPORTING JOUR 206 = JOUR 201 FAS Journalism JOUR 206 200 Bachelor Workshop course, practical out-of-class assignments"
1378,"INTRODUCTION TO REPORTING  FAS Journalism JOUR 206 200 Bachelor Workshop course, practical out-of-class assignments"
1379,"Introduction to Multimedia JOUR 221 = JOUR 207 FAS Journalism JOUR 207 200 Bachelor Workshop course, practical out-of-class assignments"
1380,"Introduction to Multimedia  FAS Journalism JOUR 207 200 Bachelor Workshop course, practical out-of-class assignments"
1381,"Introduction to Multimedia JOUR 221 = JOUR 207 FAS Journalism JOUR 207 200 Bachelor Workshop course, practical out-of-class assignments"
1382,"Introduction to Multimedia  FAS Journalism JOUR 207 200 Bachelor Workshop course, practical out-of-class assignments"
1383,"INTERMEDIATE REPORTING JOUR 206 = JOUR 201 FAS Journalism JOUR 208 200 Bachelor Workshop course, practical out-of-class assignments"
1384,"INTERMEDIATE REPORTING  FAS Journalism JOUR 208 200 Bachelor Workshop course, practical out-of-class assignments"
1385,"INTERMEDIATE REPORTING JOUR 206 = JOUR 201 FAS Journalism JOUR 208 200 Bachelor Workshop course, practical out-of-class assignments"
